Date,Price_abev3,Price_bbdc3,Price_itub3,Price_itsa3,Price_wege3
2018-10-04,14.37,15.22,23.19,6.8,9.21
2018-10-05,14.2,14.78,23.44,6.8,9.21
2018-10-08,14.48,15.56,24.78,6.96,9.18
2018-10-09,14.06,15.58,24.54,6.99,8.82
2018-10-10,13.83,14.91,23.79,6.87,8.87
2018-10-11,13.67,15.0,23.51,6.83,8.88
2018-10-15,13.62,15.15,23.52,6.82,8.82
2018-10-16,14.0,15.79,24.32,7.01,9.04
2018-10-17,13.71,15.8,24.49,6.98,8.99
2018-10-18,13.39,15.31,24.09,6.9,8.87
2018-10-19,13.56,15.34,23.87,6.87,8.97
2018-10-22,13.53,15.52,24.09,6.98,8.99
2018-10-23,13.38,15.56,24.08,6.98,9.26
2018-10-24,12.78,15.12,23.45,6.96,9.33
2018-10-25,12.07,15.77,24.02,6.97,9.16
2018-10-26,12.22,15.95,24.08,7.08,8.72
2018-10-29,12.41,15.62,23.88,6.95,8.44
2018-10-30,12.91,16.31,24.64,7.21,8.82
2018-10-31,13.14,16.23,24.42,7.25,8.68
2018-11-01,13.17,17.08,25.11,7.33,8.77
2018-11-05,13.24,17.71,25.72,7.45,9.02
2018-11-06,13.38,17.41,25.45,7.48,9.01
2018-11-07,13.15,17.34,25.81,7.54,9.09
2018-11-08,12.64,16.7,25.14,7.33,8.97
2018-11-09,12.93,17.07,25.66,7.45,8.97
2018-11-12,12.83,17.1,25.7,7.43,8.89
2018-11-13,12.68,16.74,25.21,7.4,8.74
2018-11-14,12.89,16.91,25.19,7.46,8.88
2018-11-16,13.27,17.85,25.93,7.7,8.94
2018-11-19,13.24,17.64,26.11,7.72,8.77
2018-11-21,13.18,17.48,25.95,7.67,8.66
2018-11-22,13.27,17.51,26.19,7.69,8.49
2018-11-23,13.03,17.55,25.86,7.62,8.52
2018-11-26,12.99,17.18,25.49,7.56,8.55
2018-11-27,13.3,17.87,26.12,7.78,8.7
2018-11-28,13.42,18.45,26.62,7.94,8.74
2018-11-29,13.38,18.58,26.71,8.04,8.78
2018-11-30,13.61,18.03,26.68,7.89,8.59
2018-12-03,13.46,17.97,26.45,7.87,8.66
2018-12-04,13.39,17.99,26.3,7.88,8.7
2018-12-05,13.3,18.05,26.22,7.63,8.6
2018-12-06,13.18,18.31,26.35,7.91,8.6
2018-12-07,12.96,18.07,26.22,7.83,8.53
2018-12-10,12.78,17.66,25.6,7.65,8.3
2018-12-11,12.83,17.73,25.79,7.69,8.39
2018-12-12,12.83,17.88,25.91,7.86,8.34
2018-12-13,13.13,18.4,26.43,7.96,8.37
